entity_id,entity_name,segment,owner
EXP001,Experiment 1,Core,Revenue
EXP002,Experiment 2,Watch,Operations
EXP003,Experiment 3,Growth,Customer
EXP004,Experiment 4,Growth,Analytics
EXP005,Experiment 5,Strategic,Customer
EXP006,Experiment 6,Growth,Revenue
EXP007,Experiment 7,Growth,Analytics
EXP008,Experiment 8,Watch,Operations
EXP009,Experiment 9,Growth,Product
EXP010,Experiment 10,Watch,Analytics
EXP011,Experiment 11,Strategic,Operations
EXP012,Experiment 12,Growth,Analytics
EXP013,Experiment 13,Growth,Product
EXP014,Experiment 14,Watch,Customer
EXP015,Experiment 15,Growth,Operations
EXP016,Experiment 16,Strategic,Customer
EXP017,Experiment 17,Growth,Revenue
EXP018,Experiment 18,Watch,Operations
EXP019,Experiment 19,Growth,Operations
EXP020,Experiment 20,Growth,Revenue
EXP021,Experiment 21,Strategic,Customer
EXP022,Experiment 22,Watch,Analytics
EXP023,Experiment 23,Core,Product
EXP024,Experiment 24,Growth,Product
EXP025,Experiment 25,Watch,Product
EXP026,Experiment 26,Core,Revenue
EXP027,Experiment 27,Growth,Operations
EXP028,Experiment 28,Strategic,Analytics
EXP029,Experiment 29,Growth,Revenue
EXP030,Experiment 30,Core,Operations
EXP031,Experiment 31,Watch,Product
EXP032,Experiment 32,Watch,Operations
